date,region,product,customer_segment,revenue,units
2024-07-25,Europe,Dashboard Builder,Mid-Market,1153.79,1
2024-07-25,LATAM,Insight Pro,Mid-Market,1237.9,7
2024-07-25,APAC,Insight Pro,Mid-Market,1074.74,2
2024-07-25,North America,Insight Pro,Mid-Market,1836.88,4
2024-07-25,North America,Dashboard Builder,Mid-Market,999.1,5
2024-07-26,North America,Dashboard Builder,Enterprise,3653.24,3
2024-07-26,Europe,Data Connector,SMB,318.58,6
2024-07-27,APAC,Dashboard Builder,Mid-Market,705.03,2
2024-07-27,Europe,Data Connector,SMB,388.5,3
2024-07-27,North America,Insight Pro,Mid-Market,1434.81,1
2024-07-27,Europe,Dashboard Builder,Enterprise,3440.43,2
2024-07-27,North America,Data Connector,Mid-Market,1706.02,2
2024-07-27,LATAM,Analytics Suite,Enterprise,3145.71,1
2024-07-27,North America,Analytics Suite,Mid-Market,1569.11,5
2024-07-28,Europe,Insight Pro,Mid-Market,1171.26,3
2024-07-28,North America,Analytics Suite,Mid-Market,654.6,3
2024-07-28,North America,Dashboard Builder,SMB,317.24,3
2024-07-29,LATAM,Data Connector,SMB,325.15,4
2024-07-29,Europe,Insight Pro,SMB,289.38,6
2024-07-29,North America,Data Connector,Mid-Market,1352.16,3
2024-07-29,Europe,Data Connector,Mid-Market,997.76,3
2024-07-29,North America,Dashboard Builder,Enterprise,2528.82,2
2024-07-29,Europe,Dashboard Builder,Mid-Market,1208.82,1
2024-07-29,North America,Dashboard Builder,Enterprise,2086.63,1
2024-07-29,Europe,Data Connector,SMB,291.62,1
2024-07-29,North America,Insight Pro,SMB,189.8,2
2024-07-29,North America,Dashboard Builder,Enterprise,5248.04,1
2024-07-29,North America,Insight Pro,Mid-Market,866.51,5
2024-07-29,APAC,Insight Pro,Mid-Market,1164.23,2
2024-07-30,Europe,Insight Pro,Enterprise,3955.73,2
2024-07-30,North America,Analytics Suite,SMB,446.9,4
2024-07-30,APAC,Dashboard Builder,Mid-Market,1288.47,2
2024-07-30,North America,Dashboard Builder,SMB,329.19,1
2024-07-30,North America,Insight Pro,Enterprise,4266.98,1
2024-07-31,Europe,Data Connector,Mid-Market,752.79,4
2024-07-31,North America,Data Connector,Mid-Market,1160.51,3
2024-07-31,North America,Data Connector,Mid-Market,1185.25,1
2024-08-01,North America,Insight Pro,Enterprise,3546.85,1
2024-08-01,LATAM,Insight Pro,Mid-Market,948.51,1
2024-08-01,LATAM,Analytics Suite,Mid-Market,904.31,3
2024-08-01,North America,Dashboard Builder,SMB,315.99,3
2024-08-01,LATAM,Dashboard Builder,SMB,334.76,1
2024-08-01,APAC,Dashboard Builder,Enterprise,2535.18,3
2024-08-02,Europe,Insight Pro,SMB,290.62,4
2024-08-02,North America,Dashboard Builder,SMB,268.9,2
2024-08-02,APAC,Data Connector,SMB,249.01,2
2024-08-02,North America,Insight Pro,Mid-Market,969.44,6
2024-08-03,North America,Dashboard Builder,Mid-Market,627.48,2
2024-08-03,Europe,Insight Pro,Mid-Market,1112.69,1
2024-08-03,Europe,Analytics Suite,Enterprise,2016.42,1
2024-08-03,North America,Analytics Suite,Enterprise,4929.29,1
2024-08-03,Europe,Analytics Suite,Mid-Market,889.12,3
2024-08-04,Europe,Data Connector,Mid-Market,1355.61,3
2024-08-04,North America,Dashboard Builder,Mid-Market,977.41,2
2024-08-04,Europe,Data Connector,Enterprise,2501.94,1
2024-08-05,North America,Analytics Suite,Enterprise,2267.79,1
2024-08-05,North America,Analytics Suite,Mid-Market,868.05,1
2024-08-06,North America,Data Connector,SMB,334.22,4
2024-08-06,APAC,Insight Pro,Mid-Market,881.06,3
2024-08-06,North America,Analytics Suite,SMB,355.53,1
2024-08-06,Europe,Dashboard Builder,Mid-Market,1266.81,4
2024-08-06,North America,Analytics Suite,Mid-Market,854.81,6
2024-08-06,North America,Dashboard Builder,SMB,262.69,2
2024-08-06,LATAM,Analytics Suite,Enterprise,2636.73,2
2024-08-06,Europe,Data Connector,Enterprise,3580.15,1
2024-08-06,LATAM,Insight Pro,Enterprise,4507.53,1
2024-08-06,North America,Dashboard Builder,Enterprise,1517.82,1
2024-08-06,APAC,Dashboard Builder,SMB,182.62,4
2024-08-07,APAC,Analytics Suite,SMB,358.09,1
2024-08-07,North America,Analytics Suite,Mid-Market,732.88,4
2024-08-07,North America,Insight Pro,Mid-Market,1079.79,4
2024-08-07,North America,Analytics Suite,SMB,246.28,3
2024-08-07,APAC,Data Connector,Mid-Market,1274.78,3
2024-08-08,APAC,Data Connector,SMB,330.35,4
2024-08-08,North America,Dashboard Builder,SMB,356.48,5
2024-08-09,Europe,Insight Pro,SMB,270.21,2
2024-08-09,North America,Insight Pro,Enterprise,2956.22,1
2024-08-09,North America,Data Connector,SMB,313.2,2
2024-08-09,APAC,Analytics Suite,Enterprise,3128.98,1
2024-08-09,Europe,Insight Pro,SMB,203.67,3
2024-08-09,Europe,Insight Pro,SMB,350.95,3
2024-08-09,North America,Data Connector,Enterprise,4340.73,3
2024-08-10,Europe,Analytics Suite,Mid-Market,1587.09,2
2024-08-10,APAC,Data Connector,SMB,250.54,2
2024-08-10,North America,Data Connector,Enterprise,2615.45,1
2024-08-10,North America,Dashboard Builder,SMB,266.12,3
2024-08-11,APAC,Data Connector,SMB,288.91,1
2024-08-11,Europe,Dashboard Builder,Enterprise,3348.51,3
2024-08-11,LATAM,Analytics Suite,Mid-Market,1360.09,4
2024-08-11,North America,Analytics Suite,Enterprise,2999.56,1
2024-08-11,Europe,Analytics Suite,Mid-Market,1570.87,3
2024-08-12,LATAM,Dashboard Builder,Enterprise,5231.81,1
2024-08-12,APAC,Data Connector,SMB,250.37,1
2024-08-12,APAC,Dashboard Builder,Mid-Market,1118.28,2
2024-08-12,North America,Insight Pro,SMB,349.88,5
2024-08-12,North America,Data Connector,Mid-Market,851.31,4
2024-08-13,North America,Analytics Suite,Mid-Market,622.62,5
2024-08-13,Europe,Dashboard Builder,Enterprise,2025.86,1
2024-08-13,Europe,Dashboard Builder,Enterprise,4889.29,1
2024-08-14,APAC,Dashboard Builder,SMB,189.47,5
2024-08-14,Europe,Insight Pro,Mid-Market,1062.9,3
2024-08-14,North America,Analytics Suite,Enterprise,3860.74,1
2024-08-14,North America,Data Connector,SMB,323.71,2
2024-08-14,APAC,Data Connector,SMB,333.08,3
2024-08-15,APAC,Data Connector,Mid-Market,1022.32,1
2024-08-15,North America,Analytics Suite,Mid-Market,1005.72,3
2024-08-15,APAC,Analytics Suite,Mid-Market,894.74,8
2024-08-15,North America,Dashboard Builder,Mid-Market,901.31,2
2024-08-15,Europe,Analytics Suite,Enterprise,2255.64,2
2024-08-16,APAC,Insight Pro,Mid-Market,1730.68,2
2024-08-16,North America,Analytics Suite,Enterprise,4101.42,1
2024-08-16,Europe,Analytics Suite,SMB,316.88,2
2024-08-16,North America,Data Connector,SMB,382.28,1
2024-08-16,North America,Analytics Suite,Enterprise,1943.38,2
2024-08-16,North America,Analytics Suite,Mid-Market,922.06,1
2024-08-17,Europe,Insight Pro,Mid-Market,1242.65,2
2024-08-17,APAC,Insight Pro,Mid-Market,1428.58,5
2024-08-17,North America,Analytics Suite,Enterprise,4368.83,1
2024-08-17,Europe,Analytics Suite,Mid-Market,1130.49,3
2024-08-17,North America,Analytics Suite,Mid-Market,1158.06,3
2024-08-17,North America,Data Connector,SMB,288.82,1
2024-08-17,Europe,Dashboard Builder,Mid-Market,1127.29,1
2024-08-17,Europe,Data Connector,SMB,341.6,1
2024-08-17,North America,Dashboard Builder,SMB,292.96,3
2024-08-17,LATAM,Analytics Suite,Enterprise,4331.16,1
2024-08-17,North America,Insight Pro,Enterprise,3185.27,2
2024-08-17,North America,Insight Pro,Mid-Market,1241.41,2
2024-08-18,Europe,Data Connector,Enterprise,3254.01,2
2024-08-18,APAC,Data Connector,Enterprise,3237.92,1
2024-08-18,Europe,Insight Pro,Mid-Market,1010.74,5
2024-08-18,North America,Insight Pro,Mid-Market,835.97,3
2024-08-18,Europe,Data Connector,Mid-Market,1723.83,3
2024-08-18,North America,Data Connector,SMB,163.26,2
2024-08-19,Europe,Dashboard Builder,Enterprise,4822.04,1
2024-08-19,APAC,Dashboard Builder,Mid-Market,915.04,4
2024-08-19,Europe,Dashboard Builder,SMB,182.52,1
2024-08-19,LATAM,Insight Pro,Enterprise,3646.08,1
2024-08-19,APAC,Insight Pro,Mid-Market,1078.35,3
2024-08-20,LATAM,Data Connector,Mid-Market,1047.24,2
2024-08-20,APAC,Insight Pro,SMB,345.29,3
2024-08-20,North America,Insight Pro,Mid-Market,922.27,2
2024-08-20,Europe,Insight Pro,SMB,312.95,4
2024-08-20,APAC,Dashboard Builder,Enterprise,2887.59,1
2024-08-21,APAC,Dashboard Builder,Mid-Market,1066.15,2
2024-08-21,North America,Dashboard Builder,Enterprise,4188.78,1
2024-08-21,APAC,Insight Pro,Mid-Market,993.97,5
2024-08-21,APAC,Insight Pro,Enterprise,4209.47,1
2024-08-21,APAC,Analytics Suite,Mid-Market,753.55,2
2024-08-21,LATAM,Analytics Suite,SMB,205.55,1
2024-08-21,Europe,Analytics Suite,Enterprise,3614.07,2
2024-08-21,North America,Insight Pro,Enterprise,4614.61,1
2024-08-22,APAC,Analytics Suite,Mid-Market,1112.76,2
2024-08-22,APAC,Data Connector,Mid-Market,1102.15,1
2024-08-22,North America,Insight Pro,Mid-Market,1576.12,1
2024-08-22,North America,Data Connector,Enterprise,4200.67,1
2024-08-23,Europe,Insight Pro,Enterprise,3243.18,1
2024-08-23,North America,Insight Pro,SMB,341.25,2
2024-08-23,Europe,Analytics Suite,Enterprise,3115.83,1
2024-08-23,APAC,Dashboard Builder,Mid-Market,641.83,2
2024-08-24,Europe,Data Connector,SMB,305.42,2
2024-08-24,North America,Analytics Suite,Enterprise,4328.35,1
2024-08-24,APAC,Insight Pro,Mid-Market,432.81,4
2024-08-24,Europe,Data Connector,Mid-Market,926.12,6
2024-08-24,Europe,Data Connector,Mid-Market,802.11,2
2024-08-24,North America,Insight Pro,SMB,294.49,2
2024-08-24,APAC,Dashboard Builder,SMB,263.45,3
2024-08-24,Europe,Insight Pro,Mid-Market,763.83,1
2024-08-24,Europe,Analytics Suite,Mid-Market,805.48,5
2024-08-25,Europe,Data Connector,Enterprise,4927.12,1
2024-08-25,North America,Analytics Suite,SMB,280.5,2
2024-08-25,LATAM,Data Connector,Enterprise,4989.96,1
2024-08-25,Europe,Analytics Suite,SMB,312.68,3
2024-08-25,North America,Analytics Suite,Mid-Market,970.37,4
2024-08-26,North America,Dashboard Builder,Mid-Market,1424.47,3
2024-08-26,Europe,Analytics Suite,SMB,201.06,1
2024-08-26,APAC,Analytics Suite,Mid-Market,770.95,5
2024-08-27,Europe,Dashboard Builder,Enterprise,2832.21,1
2024-08-27,North America,Dashboard Builder,Mid-Market,708.39,4
2024-08-27,APAC,Insight Pro,SMB,191.93,4
2024-08-27,North America,Analytics Suite,Mid-Market,542.82,8
2024-08-27,Europe,Insight Pro,Enterprise,2779.12,1
2024-08-27,North America,Analytics Suite,Enterprise,3508.62,1
2024-08-28,Europe,Data Connector,Mid-Market,1103.34,1
2024-08-28,LATAM,Dashboard Builder,SMB,200.28,7
2024-08-28,North America,Insight Pro,Mid-Market,1442.94,3
2024-08-28,North America,Data Connector,SMB,329.06,1
2024-08-28,APAC,Dashboard Builder,SMB,103.21,2
2024-08-28,North America,Insight Pro,SMB,261.42,3
2024-08-29,Europe,Data Connector,Mid-Market,1230.73,3
2024-08-30,North America,Analytics Suite,Enterprise,2396.66,1
2024-08-30,Europe,Analytics Suite,Mid-Market,1257.16,6
2024-08-30,APAC,Data Connector,SMB,154.76,2
2024-08-30,North America,Data Connector,Enterprise,3695.76,1
2024-08-30,LATAM,Analytics Suite,Mid-Market,848.75,3
2024-08-31,North America,Analytics Suite,SMB,351.78,2
2024-08-31,North America,Insight Pro,Enterprise,2883.18,2
2024-08-31,APAC,Data Connector,Mid-Market,753.37,3
2024-08-31,North America,Insight Pro,SMB,157.52,3
2024-08-31,Europe,Data Connector,SMB,225.96,4
2024-08-31,North America,Dashboard Builder,SMB,191.44,5
2024-09-01,North America,Data Connector,SMB,285.16,3
2024-09-01,North America,Data Connector,Mid-Market,1262.81,3
2024-09-01,Europe,Dashboard Builder,SMB,345.98,1
2024-09-02,APAC,Insight Pro,SMB,431.77,3
2024-09-02,LATAM,Data Connector,Mid-Market,1618.42,2
2024-09-02,North America,Dashboard Builder,Mid-Market,1330.4,1
2024-09-02,North America,Insight Pro,Mid-Market,871.87,2
2024-09-02,Europe,Dashboard Builder,Enterprise,3412.55,1
2024-09-03,North America,Data Connector,Mid-Market,966.78,1
2024-09-03,LATAM,Analytics Suite,SMB,217.76,7
2024-09-03,Europe,Data Connector,Enterprise,3802.56,1
2024-09-03,Europe,Analytics Suite,Enterprise,2115.73,1
2024-09-03,Europe,Data Connector,Mid-Market,1151.09,3
2024-09-03,Europe,Insight Pro,Enterprise,5228.21,1
2024-09-03,Europe,Analytics Suite,Enterprise,2834.61,1
2024-09-04,North America,Insight Pro,Enterprise,4055.72,1
2024-09-04,Europe,Analytics Suite,Mid-Market,1427.39,3
2024-09-04,APAC,Data Connector,SMB,307.82,4
2024-09-04,APAC,Insight Pro,Enterprise,2340.32,1
2024-09-04,North America,Dashboard Builder,Enterprise,5423.33,1
2024-09-04,Europe,Analytics Suite,SMB,299.83,1
2024-09-04,North America,Analytics Suite,Enterprise,2484.87,1
2024-09-04,Europe,Dashboard Builder,Enterprise,1580.54,5
2024-09-05,North America,Analytics Suite,Enterprise,2857.24,3
2024-09-05,APAC,Data Connector,Mid-Market,1358.37,3
2024-09-05,Europe,Analytics Suite,SMB,259.22,4
2024-09-05,Europe,Dashboard Builder,SMB,56.39,2
2024-09-05,Europe,Analytics Suite,SMB,262.21,7
2024-09-06,North America,Insight Pro,SMB,183.42,4
2024-09-06,North America,Analytics Suite,Enterprise,2974.75,2
2024-09-06,North America,Dashboard Builder,SMB,336.19,2
2024-09-06,Europe,Analytics Suite,SMB,242.04,5
2024-09-06,Europe,Data Connector,Enterprise,1039.98,1
2024-09-06,APAC,Data Connector,Enterprise,4568.33,1
2024-09-06,North America,Insight Pro,Enterprise,5283.37,1
2024-09-07,Europe,Data Connector,Mid-Market,806.43,3
2024-09-07,LATAM,Dashboard Builder,Mid-Market,1228.05,1
2024-09-07,North America,Data Connector,Mid-Market,1121.16,8
2024-09-07,North America,Data Connector,Enterprise,3020.44,1
2024-09-07,APAC,Dashboard Builder,SMB,338.22,1
2024-09-07,North America,Insight Pro,Mid-Market,1003.81,4
2024-09-07,North America,Dashboard Builder,Enterprise,2548.38,1
2024-09-08,LATAM,Data Connector,Mid-Market,830.56,2
2024-09-08,North America,Data Connector,Mid-Market,896.7,5
2024-09-08,Europe,Data Connector,SMB,248.37,1
2024-09-08,APAC,Data Connector,Mid-Market,382.83,2
2024-09-08,North America,Dashboard Builder,SMB,280.97,1
2024-09-08,APAC,Analytics Suite,Enterprise,4080.84,1
2024-09-08,APAC,Analytics Suite,Mid-Market,592.61,3
2024-09-08,North America,Insight Pro,Enterprise,4475.49,3
2024-09-08,Europe,Data Connector,Mid-Market,1118.07,5
2024-09-09,Europe,Data Connector,Enterprise,4051.9,2
2024-09-09,APAC,Dashboard Builder,Mid-Market,1189.88,1
2024-09-09,North America,Data Connector,Mid-Market,1325.39,3
2024-09-09,APAC,Insight Pro,SMB,284.53,4
2024-09-09,North America,Dashboard Builder,SMB,441.55,5
2024-09-09,North America,Dashboard Builder,Mid-Market,678.47,1
2024-09-10,Europe,Analytics Suite,Enterprise,4780.41,1
2024-09-10,Europe,Dashboard Builder,Mid-Market,1270.03,4
2024-09-10,LATAM,Dashboard Builder,Mid-Market,994.01,6
2024-09-10,LATAM,Dashboard Builder,Mid-Market,1367.69,4
2024-09-10,Europe,Dashboard Builder,Mid-Market,634.06,2
2024-09-10,North America,Insight Pro,Mid-Market,1701.19,6
2024-09-10,Europe,Data Connector,Mid-Market,1081.74,2
2024-09-10,North America,Data Connector,Enterprise,3133.96,3
2024-09-11,APAC,Insight Pro,Mid-Market,1203.95,2
2024-09-11,Europe,Dashboard Builder,SMB,269.11,3
2024-09-11,North America,Dashboard Builder,Enterprise,2752.5,1
2024-09-11,Europe,Dashboard Builder,SMB,254.46,5
2024-09-11,North America,Data Connector,Enterprise,2982.27,1
2024-09-11,North America,Dashboard Builder,Enterprise,4521.42,1
2024-09-11,North America,Insight Pro,SMB,220.66,4
2024-09-11,APAC,Dashboard Builder,Enterprise,3152.55,1
2024-09-12,Europe,Analytics Suite,Enterprise,4057.71,2
2024-09-12,North America,Insight Pro,SMB,104.13,4
2024-09-12,APAC,Insight Pro,Mid-Market,1355.55,2
2024-09-12,Europe,Insight Pro,SMB,353.87,1
2024-09-12,LATAM,Analytics Suite,Mid-Market,1056.63,6
2024-09-13,APAC,Dashboard Builder,SMB,386.42,1
2024-09-13,Europe,Insight Pro,Mid-Market,1771.25,4
2024-09-13,North America,Analytics Suite,Enterprise,5691.95,1
2024-09-13,North America,Data Connector,Enterprise,4126.02,2
2024-09-13,APAC,Analytics Suite,Enterprise,3606.38,1
2024-09-13,Europe,Insight Pro,SMB,366.47,3
2024-09-13,Europe,Insight Pro,Mid-Market,765.78,3
2024-09-13,North America,Analytics Suite,SMB,305.55,2
2024-09-13,APAC,Analytics Suite,Mid-Market,1254.65,1
2024-09-14,Europe,Analytics Suite,SMB,241.75,3
2024-09-14,North America,Insight Pro,Mid-Market,1216.47,1
2024-09-14,LATAM,Insight Pro,Enterprise,4630.37,1
2024-09-14,North America,Data Connector,SMB,384.36,4
2024-09-14,North America,Dashboard Builder,Mid-Market,782.51,2
2024-09-14,North America,Dashboard Builder,Enterprise,1486.33,1
2024-09-15,North America,Dashboard Builder,Enterprise,2774.85,1
2024-09-15,North America,Data Connector,Mid-Market,427.29,6
2024-09-15,North America,Dashboard Builder,SMB,319.41,4
2024-09-15,North America,Data Connector,Enterprise,2450.41,1
2024-09-15,North America,Analytics Suite,SMB,225.23,2
2024-09-15,LATAM,Data Connector,Mid-Market,1149.03,2
2024-09-16,APAC,Analytics Suite,SMB,201.39,5
2024-09-16,APAC,Dashboard Builder,Enterprise,3168.37,1
2024-09-16,Europe,Insight Pro,Mid-Market,887.12,1
2024-09-16,APAC,Dashboard Builder,Mid-Market,567.3,1
2024-09-16,Europe,Insight Pro,Enterprise,3446.69,1
2024-09-16,Europe,Data Connector,SMB,271.03,4
